order_id,customer_id,product_id,order_date,quantity,order_status
1,5871,58,2024-08-01,1,Completed
2,1309,3,2023-06-01,1,Returned
3,718,7,2024-07-06,4,Cancelled
4,9162,52,2024-05-15,2,Pending
5,3346,62,2024-01-26,3,Completed
6,7215,2,2024-06-21,4,Pending
7,7683,33,2024-03-23,1,Completed
8,2719,12,2023-04-27,1,Completed
9,9096,48,2024-04-13,4,Completed
10,9643,76,2023-11-15,1,Completed
11,1456,53,2024-01-24,1,Returned
12,7298,74,2023-08-01,1,Completed
13,7036,41,2023-04-06,2,Completed
14,4231,91,2024-02-02,1,Cancelled
15,532,82,2023-11-03,3,Returned
16,2268,58,2023-10-02,,Returned
17,333,68,2024-02-06,1,Cancelled
18,5250,23,2023-01-08,4,Completed
19,7200,85,2023-01-18,1,Completed
20,5722,36,2024-08-10,1,Completed
21,9514,94,2023-11-09,2,Returned
22,8013,85,2023-09-06,,Cancelled
23,7929,87,2023-10-27,,Completed
24,9901,21,2023-09-26,1,Cancelled
25,6501,72,2023-10-30,1,Completed
26,401,55,2023-12-01,,Returned
27,7040,56,2023-08-23,1,Returned
28,3992,13,2024-06-16,3,Completed
29,9671,22,2023-06-16,1,Returned
30,1058,7,2023-03-15,3,Pending
31,7934,24,2024-04-16,2,Completed
32,2994,61,2024-07-16,2,Completed
33,8234,5,2023-04-08,4,Completed
34,27,50,2024-03-18,1,Completed
35,3534,62,2024-08-14,2,Completed
36,2619,55,2023-09-13,2,Completed
37,9363,26,2024-07-10,1,Completed
38,6640,10,2023-09-01,1,Completed
39,6630,11,2023-10-15,1,Cancelled
40,7628,40,2024-07-28,1,Completed
41,7043,11,2024-04-23,,Completed
42,8903,94,2023-12-26,2,Completed
43,2019,4,2024-07-21,2,Completed
44,4879,2,2024-06-16,3,Cancelled
45,2899,77,2023-07-30,3,Completed
46,6076,39,2024-08-21,2,
47,2048,81,2023-09-04,2,Completed
48,5203,23,2023-12-18,2,Cancelled
49,1559,45,2023-07-31,1,Pending
50,1723,74,2023-08-26,4,Completed
51,4053,77,2023-06-29,4,Cancelled
52,1652,42,2024-01-06,3,Completed
53,5223,42,2023-02-04,2,Completed
54,1779,29,2024-03-31,3,Cancelled
55,684,16,2024-05-11,2,Completed
56,9472,67,2024-03-01,1,Cancelled
57,2011,100,2023-10-17,1,Completed
58,9408,60,2023-11-28,4,Returned
59,2583,4,2023-01-10,3,Pending
60,8506,100,2024-04-22,1,Pending
61,7444,16,2023-09-23,2,Completed
62,5493,41,2024-05-20,2,Completed
63,444,6,2024-03-26,3,
64,1672,42,2024-02-02,3,Cancelled
65,3267,57,2023-11-14,2,Completed
66,7426,28,2023-02-20,,Completed
67,5910,100,2024-05-06,4,Completed
68,7015,23,2023-05-19,4,Completed
69,5480,76,2023-06-30,2,Completed
70,7820,42,2023-07-05,2,Completed
71,5142,95,2023-01-18,2,Completed
72,716,12,2023-05-25,2,Pending
73,892,96,2023-11-09,4,Cancelled
74,3808,89,2023-07-02,1,Completed
75,501,64,2024-08-18,4,Completed
76,2641,58,2024-01-16,2,Cancelled
77,9546,51,2024-02-19,1,Completed
78,8895,29,2023-11-12,2,Completed
79,2334,19,2024-07-15,1,Cancelled
80,2195,86,2023-06-18,1,Completed
81,6938,88,2024-01-22,4,Completed
82,8576,97,2023-11-04,3,Returned
83,9078,100,2023-10-31,1,Completed
84,1592,45,2023-09-15,,Completed
85,5060,54,2024-06-30,1,Completed
86,4399,80,2023-08-09,2,Completed
87,4441,66,2024-03-14,1,Returned
88,1784,72,2023-03-13,1,Returned
89,5386,13,2023-01-18,1,Cancelled
90,4118,94,2023-09-05,4,Pending
91,6983,65,2023-07-15,,Completed
92,2584,12,2024-08-20,4,Completed
93,9922,71,2023-05-07,3,Completed
94,8455,14,2024-08-10,3,Completed
95,2431,42,2024-08-08,2,Completed
96,5670,99,2023-03-08,2,Returned
97,7061,92,2024-01-18,3,Completed
98,8584,76,2023-01-14,,Completed
99,2937,48,2023-06-27,1,Returned
100,8732,24,2023-11-08,2,Completed
101,9308,65,2023-04-30,2,
102,6710,17,2024-04-16,2,Completed
103,9076,38,2024-05-21,3,Completed
104,4324,28,2023-05-10,2,Pending
105,6617,33,2023-08-03,1,Pending
106,2420,24,2024-01-01,2,Completed
107,1400,70,2023-07-30,3,Completed
108,9769,85,2024-02-10,2,Completed
109,2085,4,2024-05-27,4,Completed
110,7805,33,2024-04-15,2,Cancelled
111,6988,10,2023-09-29,1,Completed
112,5157,36,2023-03-13,1,Completed
113,5310,77,2024-08-23,1,Returned
114,1536,100,2024-02-22,1,
115,4754,73,2024-04-04,2,Completed
116,8282,31,2023-11-29,3,Completed
117,7049,4,2024-04-04,2,Completed
118,4191,84,2024-03-06,4,Returned
119,1655,8,2024-06-28,1,Completed
120,7554,27,2023-02-05,1,Completed
121,7453,36,2023-09-28,1,Completed
122,8558,9,2024-06-13,,Completed
123,3961,43,2023-10-02,2,Completed
124,6835,24,2023-08-30,2,Completed
125,5092,37,2024-02-18,1,Cancelled
126,519,41,2023-08-20,3,Completed
127,3711,94,2024-06-05,3,Pending
128,830,26,2024-05-20,2,Completed
129,6628,4,2023-07-23,3,Completed
130,8463,1,2023-09-08,2,Completed
131,7989,20,2023-01-23,1,Completed
132,2987,92,2024-03-10,3,Completed
133,6776,45,2023-08-28,,Completed
134,6691,88,2023-12-21,3,Completed
135,4815,92,2023-12-27,1,Completed
136,9200,92,2023-04-27,1,Cancelled
137,8797,69,2023-02-26,,Returned
138,177,96,2023-04-02,2,Completed
139,9907,52,2023-05-16,4,Cancelled
140,8829,94,2024-02-16,3,Returned
141,6171,64,2024-07-24,3,Returned
142,2624,21,2024-03-01,1,Completed
143,2779,80,2023-10-02,1,Completed
144,3753,72,2023-11-29,2,Completed
145,8853,76,2023-07-24,,Completed
146,4366,96,2024-08-17,1,Completed
147,4341,25,2023-05-30,2,Completed
148,4756,67,2024-07-04,3,Completed
149,8277,26,2024-07-22,2,Completed
150,3671,100,2023-05-31,2,Cancelled
151,9099,81,2023-12-14,3,Completed
152,3522,27,2023-11-24,4,Completed
153,1876,52,2023-01-30,2,Pending
154,3959,63,2024-05-29,4,Completed
155,2137,86,2023-03-07,2,Pending
156,9046,45,2023-10-09,3,Returned
157,507,58,2023-12-26,1,Completed
158,8600,38,2023-09-20,2,Completed
159,5391,35,2023-08-04,1,Completed
160,8716,46,2023-06-09,2,Pending
161,5614,71,2024-07-25,1,
162,6751,3,2023-07-30,4,Completed
163,3051,6,2023-02-07,3,Completed
164,7093,13,2023-01-23,4,Completed
165,2398,46,2023-05-01,2,Completed
166,7913,79,2024-05-05,4,
167,8520,90,2023-04-12,4,
168,1310,33,2023-12-19,2,Completed
169,7203,79,2023-09-11,2,Completed
170,7701,62,2024-04-16,2,Completed
171,4719,63,2023-01-18,1,Completed
172,5951,56,2023-05-29,,Pending
173,756,39,2023-12-28,2,Returned
174,146,60,2024-02-10,2,Completed
175,5117,78,2023-01-22,4,Completed
176,3575,83,2023-11-24,1,
177,9820,92,2023-03-05,1,Cancelled
178,4924,24,2024-06-11,1,Completed
179,1859,50,2024-01-06,2,Completed
180,4723,33,2023-02-02,1,Completed
181,3599,76,2024-04-24,3,Completed
182,630,74,2024-03-22,2,Completed
183,3519,7,2023-02-27,2,Completed
184,6559,46,2024-02-03,1,Cancelled
185,4353,62,2023-06-19,1,Returned
186,7430,1,2023-01-04,3,Completed
187,9097,79,2024-06-28,1,Completed
188,5556,65,2023-11-24,4,Cancelled
189,7998,45,2023-07-06,1,Completed
190,108,84,2023-11-08,3,Pending
191,9235,55,2024-04-01,3,Completed
192,9581,66,2024-05-12,2,Completed
193,9869,67,2023-09-04,,Completed
194,5499,100,2023-10-15,2,Returned
195,4256,80,2023-05-26,4,Completed
196,4196,54,2023-10-04,1,Pending
197,8457,93,2023-07-14,2,Cancelled
198,3822,100,2023-01-11,1,Pending
199,677,63,2024-05-27,3,
200,5179,54,2024-06-13,3,Completed
201,5567,52,2023-04-02,2,Completed
202,3970,54,2024-08-04,3,Completed
203,5421,67,2023-12-03,4,Completed
204,608,37,2024-01-01,4,Completed
205,5675,12,2023-05-24,1,Pending
206,5889,59,2023-04-05,2,
207,5333,20,2023-09-16,2,Cancelled
208,7357,87,2024-01-13,1,Completed
209,6787,86,2023-02-12,2,Returned
210,2395,32,2023-01-06,1,Cancelled
211,8071,71,2023-01-27,,Completed
212,9353,86,2023-09-10,4,Completed
213,5150,44,2024-04-14,4,Completed
214,6290,66,2024-06-07,,Completed
215,9684,78,2024-02-09,3,Completed
